gdid,labels
613248567,4
613248634,4
613248659,4
613248775,4
613249032,4
613249139,1
613249475,2
613249476,2
613249487,2
613249538,1
613249539,1
613249588,4
613249631,2
613249665,4
613249819,4
613249836,1
613249988,0
613250012,1
613250201,1
613250202,5
613250203,1
613250286,2
613250298,1
613250330,4
613250399,2
613250413,2
613251015,1
613251017,0
613251063,2
613251203,2
613251240,4
613251241,4
613251267,1
613251441,2
613251693,2
613251694,2
613251740,2
613251854,2
613252202,1
613252203,1
613252303,1
613252469,1
613254134,4
613254214,4
613254215,4
613254308,4
613254413,1
613254815,1
613254944,2
613254955,1
613254964,2
613255322,1
613255371,1
613255372,1
613255387,1
613255388,1
613255395,2
613256391,4
613256392,4
613256395,2
613256410,1
613256460,2
613256461,2
613256648,4
613256658,4
613256687,2
613256733,2
613256734,2
613256845,4
613256847,4
613256879,2
613256904,4
613256918,4
613256951,1
613256952,1
613256992,1
613256993,1
613256994,1
613257034,4
613257037,4
613257170,4
613257181,4
613257183,4
613257530,4
613257579,0
613257580,0
613257812,1
613257813,1
613258027,0
613258028,0
613259150,2
613259151,2
613259152,1
613259164,2
613259658,2
613259659,2
613260031,9
613260032,9
613260360,2
613260361,2
613261256,4
613261365,1
613261366,4
613261367,4
613261665,1
613261709,1
613261806,2
613261901,0
613261907,1
613261908,1
613262034,9
613262213,0
613262236,1
613262266,1
613262317,0
613262318,0
613262321,1
613262351,0
613263075,1
613263137,2
613263138,2
613263183,1
613263196,1
613263205,0
613263253,1
613263330,2
613263337,1
613263407,4
613263691,1
613263719,4
613263853,2
613263854,2
613263930,2
613263939,2
613263940,2
613264017,1
613264021,4
613264036,1
613264094,2
613264132,1
613264133,1
613264134,1
613264153,4
613264409,1
613264517,2
613264518,2
613264535,2
613265346,2
613265393,2
613265395,2
613265396,2
613265425,2
613265426,2
613265463,1
613265656,5
613265657,5
613265658,5
613265722,1
613265790,2
613266114,2
613266115,2
613266138,2
613266139,2
613266461,2
613267799,1
613267851,4
613267883,4
613267884,4
613267890,4
613267896,3
613267960,1
613267961,1
613267962,1
613268184,1
613268187,1
613268194,2
613268197,2
613268311,2
613268312,2
613268339,2
613268376,6
613268407,2
613268414,1
613268415,1
613268511,4
613268522,2
613268591,4
613268595,4
613268688,1
613268745,1
613268746,1
613268751,2
613268752,2
613268754,2
613268755,2
613268761,6
613268773,6
613268774,6
613268775,6
613268792,6
613268834,2
613268835,2
613268882,6
613268883,6
613268884,6
613268893,3
613268902,6
613268914,3
613268919,3
613269103,4
613269150,2
613269207,1
613269208,1
613269209,1
613269251,1
613269252,1
613269253,1
613269292,4
613269319,2
613269332,2
613269333,2
613269475,2
613269481,2
613269483,2
613269484,2
613269506,3
613269508,2
613269553,3
613269608,3
613269635,2
613269636,2
613269644,2
613269645,2
613269691,2
613269721,4
613269722,4
613269833,2
613270761,2
613270785,3
613270867,3
613270868,3
613270886,4
613270887,4
613271029,2
613271217,4
613271275,4
613271373,1
613271396,2
613271397,2
613271544,1
613271667,4
613271690,2
613271771,3
613271801,3
613271807,3
613271808,3
613271899,4
613272640,4
613272678,1
613272706,1
613272735,4
613272809,2
613272822,0
613272847,1
613273025,4
613273026,3
613273027,3
613273135,1
613273201,2
613273272,2
613273273,2
613273398,2
613273451,4
613273491,2
613273537,2
613273555,2
613273606,2
613273607,2
613273689,1
613273690,1
613273691,1
613273701,2
613273817,9
613273879,3
613273907,9
613273908,9
613274112,2
613274113,2
613274132,2
613274133,2
613274880,2
613274881,2
613274882,2
613275014,1
613275022,1
613275086,1
613275096,2
613275104,4
613275122,4
613275123,4
613275159,1
613275227,2
613275292,2
613275371,0
613275387,2
613275388,2
613275422,1
613275605,0
613276249,1
613276355,4
613276362,4
613276442,2
613276615,4
613276616,4
613276618,4
613276776,2
613276777,2
613276795,2
613276796,2
613276806,2
613276832,9
613276833,9
613276834,9
613276891,1
613277651,1
613277652,1
613277664,4
613277812,1
613277850,4
613277920,4
613277977,2
613278215,1
613278230,2
613278253,4
613278578,1
613278711,1
613278745,2
613278812,1
613278860,2
613278861,2
613279327,4
613279328,4
613279351,2
613279352,2
613279414,2
613279415,2
613279479,1
613279480,1
613279721,8
613279746,2
613279747,2
613279809,1
613279826,1
613279851,2
613279852,2
613279853,2
613279875,4
613279876,4
613279881,2
613279882,2
613279883,2
613279958,2
613279959,2
613280124,2
613280125,2
613280146,2
613280148,2
613280149,2
613280255,1
613280331,0
613280333,0
613280334,0
613280972,1
613280973,1
613281006,1
613281071,2
613281370,2
613281390,1
613281418,2
613281451,2
613281525,1
613281584,4
613281585,4
613281625,1
613281650,2
613281818,1
613281823,4
613282429,1
613282487,2
613282509,1
613282548,2
613282597,1
613282654,1
613282708,4
613282743,4
613282878,1
613282879,1
613283094,1
613283146,1
613283147,1
613283148,1
613283176,1
613283213,1
613283214,2
613283224,1
613283302,1
613283340,1
613283364,2
613283366,9
613283369,9
613283628,2
613283629,2
613284316,1
613284317,2
613284344,2
613284353,4
613284487,8
613284488,8
613284683,8
613284684,8
613284686,8
613284771,1
613284774,4
613284803,1
613284906,1
613284947,1
613284948,1
613284949,1
613285013,2
613285014,2
613285680,3
613285696,1
613285737,4
613285739,1
613286103,4
613286153,2
613286154,2
613286155,2
613286233,3
613286234,3
613286259,3
613286260,3
613286329,2
613286330,2
613286337,1
613286338,1
613286880,1
613286904,2
613286948,2
613287161,1
613287197,9
613287198,9
613287479,2
613287486,2
613287523,2
613287524,2
613287525,1
613288452,1
613288482,2
613288487,2
613288493,2
613288619,2
613289340,1
613289341,2
613289342,2
613289354,2
613289355,2
613289357,2
613289419,4
613289511,2
613289550,1
613289566,4
613289567,4
613289642,1
613289643,1
613289710,1
613289711,1
613289718,2
613289719,2
613289720,2
613289761,8
613289762,8
613289836,2
613289873,1
613289879,1
613289903,2
613289988,1
613290310,5
613290345,5
613290346,5
613290371,1
613290868,2
613290869,2
613290897,2
613290898,2
613290899,2
613290936,1
613290937,2
613291033,1
613291094,3
613291095,3
613291141,1
613291183,1
613291203,4
613291206,4
613291233,4
613291234,4
613291240,4
613291330,4
613291460,4
613291472,4
613291597,4
613291676,2
613291731,2
613291732,2
613291757,0
613291758,0
613291820,1
613291901,2
613291969,4
613292316,1
613292404,2
613292405,2
613292453,1
613292454,2
613292478,2
613292514,2
613292705,4
613292717,4
613292886,1
613292966,2
613292967,2
613293107,1
613293108,1
613293177,1
613293199,9
613293341,2
613293407,1
613293444,1
613293445,1
613294121,1
613294134,1
613294150,1
613294175,4
613294282,4
613294283,4
613294471,4
613294518,4
613294524,4
613294576,0
613294577,0
613294579,2
613294674,2
613294701,3
613294713,1
613294794,0
613294795,0
613294796,0
613295361,2
613295666,1
613295678,1
613295748,2
613295749,2
613295780,2
613295782,2
613295814,2
613295818,2
613295895,2
613295947,2
613295948,2
613295977,2
613296027,2
613296029,2
613296130,3
613296140,3
613296336,1
613296337,1
613296345,2
613296792,2
613296803,2
613296837,2
613296890,4
613296891,1
613296897,2
613296899,2
613296900,2
613297055,2
613297145,2
613297187,2
613297221,2
613297637,1
613297655,1
613297787,2
613297968,2
613297969,2
613298487,2
613298494,1
613298529,2
613298548,1
613298643,2
613298644,2
613298651,1
613298699,2
613298700,2
613298701,2
613298747,1
613298748,1
613298772,9
613298790,9
613298791,9
613298813,2
613298883,4
613298885,1
613298929,9
613299568,4
613299666,2
613299667,2
613299687,4
613299904,2
613299950,4
613300144,2
613300268,1
613300269,1
613300306,4
613300332,2
613300362,1
613300867,2
613300868,2
613300874,2
613300875,2
613300876,2
613300946,1
613301072,2
613301084,4
613301191,4
613301192,4
613301219,3
613301317,2
613301318,2
613301455,3
613301456,3
613301503,1
613301504,1
613301529,2
613301530,1
613301543,1
613302119,2
613302120,2
613302135,2
613302136,2
613302137,2
613302156,2
613302193,2
613302215,1
613302232,1
613302233,1
613302311,1
613302532,2
613302533,2
613302534,2
613302649,2
613302680,2
613302681,2
613302689,2
613302701,1
613302738,1
613302858,3
613302867,3
613302868,3
613302871,3
613302926,1
613303003,2
613303041,1
613303048,1
613303682,1
613303696,4
613304114,2
613304123,2
613304131,2
613304194,2
613304200,2
613304242,1
613304243,1
613304279,3
613304280,3
613304419,2
613305106,1
613305129,2
613305613,1
613305642,1
613305648,2
613305649,2
613305661,2
613305664,2
613305665,2
613305754,1
613305804,1
613305805,1
613305806,1
613305807,1
613305808,1
613305809,1
613306835,2
613306872,1
613306959,1
613307058,1
613307059,1
613307093,1
613307218,2
613310652,4
613310755,2
613311739,2
613311863,2
613311917,2
613312142,7
613312143,7
613312144,7
613312160,7
613312161,7
613312261,7
613312359,4
613312500,2
613312630,3
613312771,7
613312772,7
613312773,7
613313635,2
613313643,9
613313684,1
613313929,1
613313930,1
613313956,1
613313959,1
613313960,1
613314021,4
613314022,4
613314027,2
613314208,1
613314364,1
613314372,1
613314588,1
613314589,1
613315496,1
613315553,3
613315572,1
613315573,1
613315644,1
613315756,2
613315757,2
